1,0,30672,29959,29930,42426,28393,28252
2,96,30278,30264,30019,62287,19095,17690
3,192,30093,30457,30011,59629,21160,18282
4,288,30228,30487,29845,60691,21331,17049
5,384,30157,30621,29783,60123,22336,16611
6,480,30225,30681,29655,60163,23019,15888
7,576,30189,30793,29578,60039,23793,15239
8,672,30217,30871,29473,59798,24613,14660
9,768,30199,30970,29392,59704,25360,14007
10,864,30202,31057,29302,59419,26194,13457
11,960,30188,31150,29223,59234,26974,12862
12,1056,30177,31240,29144,58952,27796,12322
13,1152,30160,31331,29070,58676,28608,11787
14,1248,30141,31420,28999,58372,29426,11273
15,1344,30118,31510,28933,58044,30248,10779
16,1440,30092,31599,28870,57694,31072,10305
17,1536,30064,31687,28810,57321,31898,9852
18,1632,30032,31774,28755,56926,32725,9420
19,1728,29998,31860,28703,56509,33552,9009
20,1824,29961,31946,28655,56071,34379,8621
21,1920,29921,32030,28610,55613,35204,8254
22,2016,29879,32113,28569,55133,36028,7910
23,2112,29834,32195,28532,54633,36849,7589
24,2208,29786,32275,28499,54114,37666,7291
25,2304,29737,32354,28470,53576,38479,7016
26,2400,29685,32432,28444,53019,39287,6765
27,2496,29631,32508,28422,52443,40090,6538
28,2592,29576,32582,28403,51850,40886,6335
29,2688,29518,32655,28388,51240,41674,6156
30,2784,29459,32725,28377,50614,42455,6002
31,2880,29398,32794,28370,49971,43228,5872
32,2976,29335,32861,28365,49313,43991,5767
33,3072,29271,32925,28365,48640,44744,5687
34,3168,29205,32988,28368,47953,45486,5631
35,3264,29138,33049,28374,47252,46218,5601
36,3360,29070,33107,28384,46539,46937,5595
37,3456,29001,33163,28397,45813,47643,5615
38,3552,28931,33216,28414,45075,48336,5659
39,3648,28860,33267,28433,44327,49016,5728
40,3744,28788,33316,28456,43568,49680,5822
41,3840,28716,33362,28483,42800,50330,5941
42,3936,28643,33406,28512,42022,50964,6084
43,4032,28570,33447,28544,41237,51581,6252
44,4128,28496,33485,28580,40444,52182,6445
45,4224,28422,33521,28618,39644,52765,6661
46,4320,28348,33553,28659,38839,53330,6901
47,4416,28274,33583,28703,38028,53877,7166
48,4512,28200,33611,28750,37212,54405,7453
49,4608,28126,33635,28800,36393,54913,7764
50,4704,28053,33656,28852,35571,55402,8098
51,4800,27980,33675,28907,34746,55870,8455
52,4896,27907,33690,28964,33920,56317,8834
53,4992,27835,33703,29023,33093,56744,9235
54,5088,27763,33713,29085,32265,57148,9657
55,5184,27693,33719,29149,31439,57531,10101
56,5280,27623,33723,29215,30614,57891,10566
57,5376,27554,33724,29284,29791,58229,11051
58,5472,27486,33721,29354,28971,58544,11556
59,5568,27419,33716,29426,28155,58835,12081
60,5664,27354,33707,29500,27343,59103,12624
61,5760,27289,33696,29576,26537,59348,13186
62,5856,27227,33681,29653,25736,59568,13767
63,5952,27165,33664,29732,24942,59764,14365
64,6048,27105,33643,29812,24155,59936,14979
65,6144,27047,33620,29894,23376,60084,15610
66,6240,26991,33593,29977,22607,60207,16257
67,6336,26936,33564,30061,21846,60305,16920
68,6432,26883,33532,30147,21096,60378,17597
69,6528,26832,33496,30233,20356,60427,18287
70,6624,26783,33458,30320,19629,60450,18992
71,6720,26736,33417,30408,18913,60449,19709
72,6816,26691,33373,30496,18210,60423,20438
73,6912,26649,33327,30586,17521,60371,21179
74,7008,26608,33277,30675,16845,60295,21930
75,7104,26570,33225,30765,16185,60194,22692
76,7200,26535,33170,30856,15539,60069,23462
77,7296,26502,33113,30946,14910,59919,24242
78,7392,26471,33053,31037,14297,59744,25030
79,7488,26443,32991,31128,13701,59545,25825
80,7584,26417,32926,31218,13123,59322,26626
81,7680,26394,32858,31309,12563,59075,27433
82,7776,26373,32789,31399,12021,58804,28245
83,7872,26356,32717,31489,11499,58510,29062
84,7968,26341,32642,31578,10996,58192,29882
85,8064,26328,32566,31667,10513,57852,30705
86,8160,26319,32488,31755,10051,57489,31531
87,8256,26312,32407,31842,9609,57104,32357
88,8352,26308,32324,31928,9189,56697,33184
89,8448,26307,32240,32014,8791,56269,34011
90,8544,26309,32154,32098,8414,55819,34838
91,8640,26314,32066,32182,8060,55349,35662
92,8736,26321,31976,32264,7729,54858,36484
93,8832,26332,31885,32345,7420,54347,37303
94,8928,26345,31792,32424,7135,53817,38118
95,9024,26361,31698,32502,6874,53269,38929
96,9120,26380,31602,32579,6636,52701,39734
97,9216,26402,31505,32653,6422,52116,40533
98,9312,26427,31407,32727,6232,51514,41325
99,9408,26455,31308,32798,6067,50894,42109
100,9504,26486,31208,32867,5927,50259,42886
101,9600,26520,31107,32935,5811,49607,43653
102,9696,26556,31005,33001,5719,48941,44411
103,9792,26595,30902,33064,5653,48260,45158
104,9888,26637,30798,33125,5611,47565,45894
105,9984,26682,30695,33184,5595,46857,46619
106,10080,26730,30590,33241,5603,46137,47331
107,10176,26780,30485,33296,5636,45405,48030
108,10272,26833,30380,33348,5694,44661,48716
109,10368,26888,30275,33398,5777,43907,49387
110,10464,26946,30170,33445,5885,43142,50043
111,10560,27007,30064,33490,6018,42369,50684
112,10656,27070,29959,33532,6175,41587,51309
113,10752,27136,29854,33571,6356,40797,51917
114,10848,27204,29749,33608,6562,40001,52508
115,10944,27275,29644,33642,6792,39198,53082
116,11040,27348,29540,33673,7045,38389,53637
117,11136,27423,29437,33701,7323,37575,54173
118,11232,27500,29334,33727,7623,36758,54690
119,11328,27579,29232,33750,7947,35936,55187
120,11424,27661,29130,33770,8294,35113,55665
121,11520,27744,29030,33787,8663,34287,56121
122,11616,27830,28931,33800,9054,33460,56557
123,11712,27917,28832,33811,9467,32633,56971
124,11808,28006,28735,33819,9901,31806,57363
125,11904,28097,28639,33824,10357,30980,57734
126,12000,28190,28545,33826,10833,30156,58082
127,12096,28284,28452,33825,11329,29335,58407
128,12192,28380,28360,33821,11845,28517,58708
129,12288,28477,28270,33814,12380,27703,58987
130,12384,28575,28182,33804,12934,26894,59242
131,12480,28675,28095,33791,13507,26091,59473
132,12576,28776,28010,33775,14097,25294,59680
133,12672,28878,27927,33756,14704,24504,59863
134,12768,28981,27846,33734,15328,23721,60021
135,12864,29085,27768,33709,15968,22948,60155
136,12960,29189,27691,33681,16623,22183,60264
137,13056,29295,27616,33650,17294,21428,60349
138,13152,29401,27544,33616,17979,20684,60408
139,13248,29508,27474,33579,18677,19951,60443
140,13344,29615,27406,33539,19389,19229,60453
141,13440,29723,27341,33497,20112,18521,60437
142,13536,29831,27279,33452,20848,17825,60397
143,13632,29939,27219,33404,21595,17144,60332
144,13728,30047,27161,33353,22352,16476,60242
145,13824,30156,27106,33299,23119,15824,60128
146,13920,30264,27054,33243,23895,15188,59988
147,14016,30372,27005,33184,24679,14568,59824
148,14112,30480,26958,33123,25470,13964,59636
149,14208,30587,26914,33059,26269,13378,59424
150,14304,30694,26873,32993,27074,12810,59187
151,14400,30801,26835,32925,27884,12260,58927
152,14496,30907,26800,32854,28699,11729,58643
153,14592,31012,26768,32781,29517,11217,58336
154,14688,31117,26739,32705,30339,10725,58006
155,14784,31220,26713,32628,31164,10254,57653
156,14880,31323,26690,32548,31990,9803,57278
157,14976,31424,26670,32467,32817,9373,56881
158,15072,31525,26653,32383,33644,8965,56462
159,15168,31624,26640,32298,34471,8579,56021
160,15264,31722,26629,32211,35296,8215,55560
161,15360,31818,26621,32122,36119,7873,55079
162,15456,31913,26617,32031,36940,7554,54577
163,15552,32006,26616,31939,37756,7259,54055
164,15648,32098,26618,31846,38569,6987,53515
165,15744,32188,26622,31751,39377,6739,52956
166,15840,32276,26631,31654,40178,6514,52378
167,15936,32362,26642,31557,40974,6314,51783
168,16032,32447,26656,31458,41762,6138,51172
169,16128,32529,26673,31359,42542,5986,50543
170,16224,32609,26694,31258,43313,5859,49899
171,16320,32687,26717,31157,44075,5757,49239
172,16416,32763,26744,31054,44827,5679,48564
173,16512,32836,26773,30951,45568,5627,47876
174,16608,32907,26806,30848,46298,5599,47174
175,16704,32976,26841,30744,47016,5596,46459
176,16800,33042,26880,30639,47721,5618,45731
177,16896,33106,26921,30534,48413,5665,44993
178,16992,33167,26965,30429,49090,5737,44243
179,17088,33225,27012,30324,49753,5834,43483
180,17184,33281,27061,30218,50401,5956,42714
181,17280,33334,27114,30113,51033,6102,41936
182,17376,33384,27169,30008,51649,6273,41149
183,17472,33432,27226,29903,52248,6467,40356
184,17568,33476,27286,29799,52829,6687,39555
185,17664,33518,27349,29694,53392,6930,38749
186,17760,33556,27414,29591,53937,7196,37937
187,17856,33592,27481,29488,54463,7487,37121
188,17952,33625,27551,29385,54969,7800,36302
189,18048,33654,27623,29284,55455,8137,35479
190,18144,33681,27697,29183,55921,8496,34654
191,18240,33704,27773,29083,56366,8877,33828
192,18336,33725,27852,28984,56790,9281,33001
193,18432,33742,27932,28887,57192,9706,32173
194,18528,33756,28014,28790,57572,10152,31347
195,18624,33767,28098,28695,57930,10619,30522
196,18720,33775,28184,28601,58265,11106,29700
197,18816,33780,28272,28509,58577,11613,28880
198,18912,33782,28361,28419,58866,12140,28065
199,19008,33780,28451,28330,59132,12686,27253
200,19104,33776,28543,28242,59373,13250,26447
201,19200,33768,28637,28157,59591,13832,25647
202,19296,33757,28731,28073,59785,14432,24854
203,19392,33743,28827,27991,59954,15049,24068
204,19488,33726,28924,27912,60099,15682,23290
205,19584,33705,29022,27834,60219,16330,22522
206,19680,33682,29120,27759,60314,16994,21762
207,19776,33656,29220,27685,60385,17673,21013
208,19872,33626,29320,27614,60431,18365,20275
209,19968,33594,29421,27546,60452,19071,19548
210,20064,33559,29523,27480,60447,19789,18834
211,20160,33521,29624,27416,60418,20520,18133
212,20256,33480,29727,27355,60364,21262,17445
213,20352,33436,29829,27296,60285,22014,16771
214,20448,33389,29932,27240,60182,22777,16112
215,20544,33340,30035,27187,60053,23549,15469
216,20640,33287,30137,27136,59900,24329,14841
217,20736,33233,30240,27088,59723,25118,14230
218,20832,33175,30342,27043,59521,25913,13636
219,20928,33115,30444,27001,59295,26715,13060
220,21024,33053,30546,26962,59046,27523,12502
221,21120,32988,30647,26926,58772,28336,11962
222,21216,32921,30748,26892,58476,29153,11442
223,21312,32851,30848,26862,58156,29974,10941
224,21408,32779,30947,26835,57813,30797,10461
225,21504,32705,31045,26810,57448,31622,10001
226,21600,32629,31143,26789,57060,32449,9562
227,21696,32551,31239,26771,56651,33276,9144
228,21792,32471,31334,26756,56220,34103,8748
229,21888,32389,31428,26744,55768,34929,8374
230,21984,32305,31521,26735,55295,35754,8022
231,22080,32219,31612,26729,54802,36575,7693
232,22176,32132,31702,26727,54289,37394,7387
233,22272,32043,31791,26727,53757,38208,7105
234,22368,31953,31877,26731,53206,39018,6846
235,22464,31861,31962,26737,52637,39823,6611
236,22560,31768,32046,26747,52050,40621,6400
237,22656,31674,32127,26760,51446,41412,6213
238,22752,31578,32206,26776,50824,42196,6050
239,22848,31482,32284,26795,50187,42971,5912
240,22944,31384,32359,26817,49534,43738,5799
241,23040,31286,32432,26843,48866,44494,5711
242,23136,31187,32503,26871,48184,45240,5647
243,23232,31087,32572,26902,47487,45975,5608
244,23328,30986,32638,26936,46778,46698,5594
245,23424,30885,32702,26973,46056,47409,5605
246,23520,30784,32764,27013,45322,48107,5641
247,23616,30682,32823,27056,44578,48791,5702
248,23712,30580,32879,27101,43822,49461,5788
249,23808,30478,32933,27150,43057,50115,5899
250,23904,30376,32984,27201,42282,50754,6034
251,24000,30273,33033,27255,41500,51377,6194
252,24096,30171,33079,27311,40709,51984,6378
253,24192,30069,33121,27370,39912,52573,6586
254,24288,29968,33161,27432,39108,53144,6819
255,24384,29867,33199,27496,38299,53697,7075
256,24480,29766,33233,27562,37485,54231,7355
257,24576,29666,33264,27631,36666,54746,7658
258,24672,29567,33292,27702,35845,55241,7984
259,24768,29468,33318,27775,35021,55716,8333
260,24864,29371,33340,27850,34195,56171,8705
261,24960,29274,33359,27928,33368,56604,9099
262,25056,29178,33376,28007,32541,57016,9514
263,25152,29084,33389,28088,31714,57406,9951
264,25248,28991,33399,28172,30889,57773,10409
265,25344,28899,33406,28257,30065,58119,10887
266,25440,28808,33410,28343,29244,58441,11385
267,25536,28719,33410,28432,28427,58741,11904
268,25632,28631,33408,28522,27613,59017,12441
269,25728,28545,33403,28613,26805,59269,12997
270,25824,28461,33394,28706,26002,59497,13571
271,25920,28379,33382,28800,25206,59702,14163
272,26016,28298,33368,28895,24416,59882,14772
273,26112,28220,33350,28991,23635,60038,15398
274,26208,28143,33329,29089,22862,60169,16040
275,26304,28069,33305,29187,22098,60275,16697
276,26400,27997,33278,29286,21345,60357,17369
277,26496,27926,33248,29386,20602,60413,18056
278,26592,27859,33216,29487,19870,60445,18756
279,26688,27793,33180,29588,19150,60452,19468
280,26784,27730,33141,29689,18443,60434,20194
281,26880,27670,33100,29792,17749,60391,20931
282,26976,27612,33055,29894,17069,60323,21678
283,27072,27556,33008,29996,16403,60231,22437
284,27168,27503,32958,30099,15753,60113,23205
285,27264,27453,32906,30202,15118,59971,23981
286,27360,27406,32851,30304,14500,59805,24766
287,27456,27361,32793,30407,13898,59614,25559
288,27552,27319,32733,30509,13314,59399,26358
289,27648,27280,32670,30611,12748,59160,27163
290,27744,27244,32604,30712,12200,58897,27974
291,27840,27211,32537,30813,11671,58610,28789
292,27936,27181,32467,30913,11161,58301,29609
293,28032,27153,32395,31013,10672,57968,30431
294,28128,27129,32320,31112,10203,57613,31255
295,28224,27108,32244,31209,9754,57235,32082
296,28320,27090,32165,31306,9327,56835,32909
297,28416,27074,32085,31402,8921,56414,33736
298,28512,27062,32002,31496,8537,55971,34562
299,28608,27053,31918,31590,8176,55508,35387
300,28704,27047,31832,31681,7837,55024,36210
301,28800,27045,31745,31772,7520,54520,37031
302,28896,27045,31655,31861,7228,53996,37847
303,28992,27048,31564,31948,6958,53454,38659
304,29088,27055,31472,32034,6712,52892,39466
305,29184,27064,31379,32118,6491,52313,40267
306,29280,27077,31284,32200,6293,51716,41061
307,29376,27093,31188,32280,6120,51103,41849
308,29472,27111,31091,32359,5971,50472,42628
309,29568,27133,30993,32435,5846,49826,43398
310,29664,27158,30894,32509,5747,49165,44159
311,29760,27186,30794,32581,5672,48489,44910
312,29856,27217,30694,32650,5622,47798,45650
313,29952,27251,30593,32718,5597,47095,46378
314,30048,27287,30491,32783,5597,46378,47095
315,30144,27327,30389,32845,5622,45650,47798
316,30240,27369,30286,32905,5672,44910,48489
317,30336,27414,30184,32963,5747,44159,49165
318,30432,27462,30081,33018,5846,43398,49826
319,30528,27513,29978,33070,5971,42628,50472
320,30624,27567,29875,33120,6120,41849,51103
321,30720,27623,29772,33166,6293,41061,51716
322,30816,27681,29669,33210,6491,40267,52313
323,30912,27742,29567,33252,6712,39466,52892
324,31008,27806,29465,33290,6958,38659,53454
325,31104,27872,29364,33325,7228,37847,53996
326,31200,27940,29263,33358,7520,37031,54520
327,31296,28011,29162,33388,7837,36210,55024
328,31392,28084,29063,33414,8176,35387,55508
329,31488,28159,28964,33438,8537,34562,55971
330,31584,28236,28867,33458,8921,33736,56414
331,31680,28315,28770,33476,9327,32909,56835
332,31776,28396,28674,33490,9754,32082,57235
333,31872,28479,28580,33501,10203,31255,57613
334,31968,28564,28487,33510,10672,30431,57968
335,32064,28651,28395,33515,11161,29609,58301
336,32160,28739,28305,33517,11671,28789,58610
337,32256,28829,28217,33516,12200,27974,58897
338,32352,28920,28130,33512,12748,27163,59160
339,32448,29012,28044,33504,13314,26358,59399
340,32544,29106,27961,33494,13898,25559,59614
341,32640,29202,27879,33481,14500,24766,59805
342,32736,29298,27799,33464,15118,23981,59971
343,32832,29395,27721,33444,15753,23205,60113
344,32928,29494,27646,33422,16403,22437,60231
345,33024,29593,27572,33396,17069,21678,60323
346,33120,29693,27501,33367,17749,20931,60391
347,33216,29794,27432,33336,18443,20194,60434
348,33312,29895,27365,33301,19150,19468,60452
349,33408,29997,27301,33264,19870,18756,60445
350,33504,30099,27239,33223,20602,18056,60413
351,33600,30201,27179,33180,21345,17369,60357
352,33696,30304,27122,33134,22098,16697,60275
353,33792,30407,27068,33086,22862,16040,60169
354,33888,30510,27017,33034,23635,15398,60038
355,33984,30613,26968,32980,24416,14772,59882
356,34080,30716,26922,32923,25206,14163,59702
357,34176,30819,26879,32864,26002,13571,59497
358,34272,30921,26838,32802,26805,12997,59269
359,34368,31023,26801,32738,27613,12441,59017
360,34464,31124,26766,32671,28427,11904,58741
361,34560,31225,26734,32602,29244,11385,58441
362,34656,31325,26706,32531,30065,10887,58119
363,34752,31424,26680,32457,30889,10409,57773
364,34848,31522,26657,32381,31714,9951,57406
365,34944,31620,26638,32304,32541,9514,57016
366,35040,31716,26621,32224,33368,9099,56604
367,35136,31811,26608,32142,34195,8705,56171
368,35232,31905,26597,32059,35021,8333,55716
369,35328,31998,26590,31973,35845,7984,55241
370,35424,32089,26586,31886,36666,7658,54746
371,35520,32179,26585,31797,37485,7355,54231
372,35616,32267,26587,31707,38299,7075,53697
373,35712,32354,26592,31616,39108,6819,53144
374,35808,32439,26600,31522,39912,6586,52573
375,35904,32522,26611,31428,40709,6378,51984
376,36000,32603,26626,31333,41500,6194,51377
377,36096,32682,26643,31236,42282,6034,50754
378,36192,32759,26664,31138,43057,5899,50115
379,36288,32834,26687,31039,43822,5788,49461
380,36384,32907,26714,30940,44578,5702,48791
381,36480,32978,26744,30840,45322,5641,48107
382,36576,33046,26776,30739,46056,5605,47409
383,36672,33112,26812,30637,46778,5594,46698
384,36768,33176,26850,30535,47487,5608,45975
385,36864,33237,26891,30432,48184,5647,45240
386,36960,33296,26936,30330,48866,5711,44494
387,37056,33352,26982,30227,49534,5799,43738
388,37152,33405,27032,30124,50187,5912,42971
389,37248,33456,27084,30020,50824,6050,42196
390,37344,33504,27140,29917,51446,6213,41412
391,37440,33549,27197,29815,52050,6400,40621
392,37536,33592,27257,29712,52637,6611,39823
393,37632,33631,27320,29610,53206,6846,39018
394,37728,33668,27385,29508,53757,7105,38208
395,37824,33702,27453,29406,54289,7387,37394
396,37920,33732,27523,29306,54802,7693,36575
397,38016,33760,27595,29206,55295,8022,35754
398,38112,33785,27669,29107,55768,8374,34929
399,38208,33807,27746,29008,56220,8748,34103
400,38304,33826,27824,28911,56651,9144,33276
401,38400,33841,27905,28815,57060,9562,32449
402,38496,33854,27987,28720,57448,10001,31622
403,38592,33863,28071,28626,57813,10461,30797
404,38688,33870,28158,28534,58156,10941,29974
405,38784,33873,28245,28443,58476,11442,29153
406,38880,33873,28335,28353,58772,11962,28336
407,38976,33870,28426,28265,59046,12502,27523
408,39072,33864,28518,28179,59295,13060,26715
409,39168,33855,28612,28094,59521,13636,25913
410,39264,33843,28706,28012,59723,14230,25118
411,39360,33827,28803,27931,59900,14841,24329
412,39456,33809,28900,27852,60053,15469,23549
413,39552,33788,28998,27775,60182,16112,22777
414,39648,33763,29097,27701,60285,16771,22014
415,39744,33735,29197,27628,60364,17445,21262
416,39840,33705,29298,27558,60418,18133,20520
417,39936,33671,29400,27490,60447,18834,19789
418,40032,33635,29502,27424,60452,19548,19071
419,40128,33596,29604,27361,60431,20275,18365
420,40224,33554,29707,27301,60385,21013,17673
421,40320,33509,29810,27242,60314,21762,16994
422,40416,33461,29913,27187,60219,22522,16330
423,40512,33410,30017,27134,60099,23290,15682
424,40608,33357,30120,27084,59954,24068,15049
425,40704,33301,30223,27036,59785,24854,14432
426,40800,33243,30326,26992,59591,25647,13832
427,40896,33182,30429,26950,59373,26447,13250
428,40992,33118,30532,26911,59132,27253,12686
429,41088,33052,30634,26875,58866,28065,12140
430,41184,32984,30735,26842,58577,28880,11613
431,41280,32913,30836,26812,58265,29700,11106
432,41376,32841,30936,26784,57930,30522,10619
433,41472,32766,31035,26760,57572,31347,10152
434,41568,32688,31134,26739,57192,32173,9706
435,41664,32609,31231,26721,56790,33001,9281
436,41760,32528,31327,26706,56366,33828,8877
437,41856,32445,31422,26694,55921,34654,8496
438,41952,32360,31516,26685,55455,35479,8137
439,42048,32274,31608,26679,54969,36302,7800
440,42144,32185,31699,26677,54463,37121,7487
441,42240,32095,31788,26677,53937,37937,7196
442,42336,32004,31876,26681,53392,38749,6930
443,42432,31911,31962,26687,52829,39555,6687
444,42528,31817,32047,26697,52248,40356,6467
445,42624,31722,32129,26710,51649,41149,6273
446,42720,31625,32210,26726,51033,41936,6102
447,42816,31527,32288,26745,50401,42714,5956
448,42912,31429,32365,26767,49753,43483,5834
449,43008,31329,32439,26792,49090,44243,5737
450,43104,31229,32512,26820,48413,44993,5665
451,43200,31128,32582,26852,47721,45731,5618
452,43296,31026,32649,26886,47016,46459,5596
453,43392,30924,32714,26923,46298,47174,5599
454,43488,30821,32777,26962,45568,47876,5627
455,43584,30718,32838,27005,44827,48564,5679
456,43680,30615,32895,27051,44075,49239,5757
457,43776,30512,32951,27099,43313,49899,5859
458,43872,30408,33003,27150,42542,50543,5986
459,43968,30305,33053,27204,41762,51172,6138
460,44064,30201,33100,27260,40974,51783,6314
461,44160,30098,33144,27319,40178,52378,6514
462,44256,29995,33185,27380,39377,52956,6739
463,44352,29893,33224,27444,38569,53515,6987
464,44448,29791,33260,27511,37756,54055,7259
465,44544,29689,33292,27579,36940,54577,7554
466,44640,29589,33322,27650,36119,55079,7873
467,44736,29489,33349,27723,35296,55560,8215
468,44832,29390,33373,27799,34471,56021,8579
469,44928,29291,33393,27876,33644,56462,8965
470,45024,29194,33411,27956,32817,56881,9373
471,45120,29098,33425,28037,31990,57278,9803
472,45216,29004,33437,28121,31164,57653,10254
473,45312,28910,33445,28206,30339,58006,10725
474,45408,28818,33450,28292,29517,58336,11217
475,45504,28727,33453,28381,28699,58643,11729
476,45600,28638,33452,28471,27884,58927,12260
477,45696,28551,33448,28562,27074,59187,12810
478,45792,28465,33440,28655,26269,59424,13378
479,45888,28381,33430,28750,25470,59636,13964
480,45984,28299,33417,28845,24679,59824,14568
481,46080,28219,33400,28942,23895,59988,15188
482,46176,28141,33381,29039,23119,60128,15824
483,46272,28065,33358,29138,22352,60242,16476
484,46368,27991,33333,29237,21595,60332,17144
485,46464,27919,33304,29338,20848,60397,17825
486,46560,27850,33273,29439,20112,60437,18521
487,46656,27782,33238,29540,19389,60453,19229
488,46752,27718,33201,29642,18677,60443,19951
489,46848,27655,33161,29745,17979,60408,20684
490,46944,27596,33118,29848,17294,60349,21428
491,47040,27539,33072,29951,16623,60264,22183
492,47136,27484,33023,30054,15968,60155,22948
493,47232,27432,32972,30157,15328,60021,23721
494,47328,27383,32918,30260,14704,59863,24504
495,47424,27337,32861,30363,14097,59680,25294
496,47520,27293,32802,30466,13507,59473,26091
497,47616,27252,32740,30569,12934,59242,26894
498,47712,27214,32676,30671,12380,58987,27703
499,47808,27179,32609,30772,11845,58708,28517
500,47904,27147,32540,30873,11329,58407,29335
501,48000,27118,32469,30973,10833,58082,30156
502,48096,27092,32396,31073,10357,57734,30980
503,48192,27069,32320,31171,9901,57363,31806
504,48288,27049,32243,31269,9467,56971,32633
505,48384,27033,32163,31365,9054,56557,33460
506,48480,27019,32081,31461,8663,56121,34287
507,48576,27008,31998,31555,8294,55665,35113
508,48672,27000,31913,31648,7947,55187,35936
509,48768,26996,31826,31739,7623,54690,36758
510,48864,26994,31738,31829,7323,54173,37575
511,48960,26996,31647,31917,7045,53637,38389
512,49056,27001,31556,32004,6792,53081,39198
513,49152,27009,31463,32089,6562,52508,40001
514,49248,27020,31369,32172,6356,51917,40797
515,49344,27034,31274,32254,6175,51309,41587
516,49440,27051,31177,32333,6018,50684,42369
517,49536,27071,31080,32410,5885,50043,43142
518,49632,27094,30981,32485,5777,49387,43907
519,49728,27121,30882,32558,5694,48716,44661
520,49824,27150,30782,32629,5636,48030,45405
521,49920,27182,30681,32698,5603,47331,46137
522,50016,27217,30580,32764,5595,46619,46857
523,50112,27255,30478,32828,5611,45894,47565
524,50208,27296,30376,32889,5653,45158,48260
525,50304,27340,30273,32948,5719,44411,48941
526,50400,27387,30171,33004,5811,43653,49607
527,50496,27436,30068,33057,5927,42886,50259
528,50592,27488,29965,33108,6067,42109,50894
529,50688,27542,29862,33156,6232,41325,51514
530,50784,27600,29760,33201,6422,40533,52116
531,50880,27659,29658,33244,6636,39734,52701
532,50976,27722,29556,33284,6874,38929,53269
533,51072,27786,29454,33320,7135,38118,53817
534,51168,27854,29353,33354,7420,37303,54347
535,51264,27923,29253,33385,7729,36484,54858
536,51360,27995,29153,33413,8060,35662,55349
